PRICE,DISCOUNT_AMT,STD_DISCOUNT_AMT,AMT,QTY,age,std_age,educ,size_hh,income cat,income_est,std_income_est,Min_TIER,TENURE,std_TENURE,sales_pcnt,spring_pcnt,fall_pcnt,holiday_pcnt,sales_prop,spring_prop,fall_prop,holiday_prop,std_sales_prop,std_spring_prop,std_fall_prop,std_holiday_prop,bts_pcnt,bts_prop,clearance_pcnt,std_bts_prop,std_clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,std_WEB,std_PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,pcnt_m_prod,pcnt_w_prod,prop_m_prod,prop_f_prod,std_prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,std_product_cat_count,std_em_rcvd,std_dm_rcvd,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,std_timeuntil_2,std_timeuntil_3,std_timeuntil_4,std_timeuntil_5,std_up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,std_EDUC_YEARS,std_LENGTH_OF_RESIDENCE
9.99,0,0.48206963,9.99,1,37,0.578438824,1,1,45k-65k,55,-0.443413637,2,905,0.290014031,0,0,0,1,0,0,0,1,-0.677308354,-0.834975019,-0.743819183,2.352981093,0,0,0.29,-0.305775062,0.802990979,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.864570794,2,1,167,1,-1.653627847,0.74559883,-0.850843949,0,0,0,,,,,1,,,,,-1.191974174,0,1,0,0,0,0,0,0,0,18,1,14,1.04892557,0.009387289
10,0,0.48206963,10,1,17,-1.517910626,,1,45k-65k,55,-0.443413637,2,1343,1.529583161,0,1,0,0,0,1,0,0,-0.677308354,1.940173391,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.864570794,2,5,171,1,-0.165728714,0.796008184,-0.850843949,1,1,0,234,10,65,902,5,0.381218296,-0.708378479,-0.344831642,5.270069854,1.345549722,0,0,1,0,0,0,0,0,0,16,1,11,0.172498868,-0.300216672
10.19,0,0.48206963,10.19,1,37,0.578438824,1,1,45k-65k,55,-0.443413637,2,839,0.103229642,0,0,1,0,0,0,1,0,-0.677308354,-0.834975019,2.104691659,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.864570794,2,2,7,0,-1.281653063,-1.270775322,-1.078954164,0,0,0,133,,,,2,-0.121855076,,,,-0.5575932,0,0,1,0,0,0,0,0,0,16,1,7,0.172498868,-0.713021953
10.9,0,0.48206963,10.9,1,37,0.578438824,2,1,45k-65k,55,-0.443413637,2,1015,0.601321347,0,1,0,0,0,1,0,0,-0.677308354,1.940173391,-0.743819183,-0.666278948,0,0,0.42,-0.305775062,1.417919621,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,2,175,4,-1.281653063,0.846417538,-0.166513302,1,0,0,,,,,1,,,,,-1.191974174,1,0,0,0,0,0,0,0,0,18,1,17,1.04892557,0.318991249
11.89,0,0.48206963,11.89,1,37,0.578438824,3,1,45k-65k,55,-0.443413637,2,829,0.074928976,0,1,0,0,0,1,0,0,-0.677308354,1.940173391,-0.743819183,-0.666278948,0,0,0.72,-0.305775062,2.836985717,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.864570794,2,2,12,3,-1.281653063,-1.20776363,-0.394623518,0,0,0,,,,,1,,,,,-1.191974174,1,0,0,0,0,0,0,0,0,14,1,6,-0.703927834,-0.816223273
11.93,-47.2,0.138872557,11.93,1,17,-1.517910626,3,3,45k-65k,55,-0.443413637,2,1002,0.564530482,0,0,1,0,0,0,1,0,-0.677308354,-0.834975019,2.104691659,-0.666278948,0,0,0.56,-0.305775062,2.080150466,0.5,0.5,5,1.540561103,0.37366374,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.864570794,2,9,172,7,1.322170419,0.808610523,0.517817344,1,1,1,5,3,3,14,5,-0.759413409,-0.749128431,-0.748260635,-0.627014994,1.345549722,1,0,0,0,0,0,0,0,0,16,0,23,0.172498868,0.93819917
11.94,0,0.48206963,11.94,1,37,0.578438824,2,1,45k-65k,55,-0.443413637,2,1335,1.506942629,0,0,0,1,0,0,0,1,-0.677308354,-0.834975019,-0.743819183,2.352981093,0,0,0.19,-0.305775062,0.329968948,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.864570794,2,4,31,2,-0.537703497,-0.9683192,-0.622733733,0,0,0,,,,,1,,,,,-1.191974174,0,0,0,1,0,0,0,0,0,16,0,30,0.172498868,1.660608411
11.97,0,0.48206963,11.97,1,37,0.578438824,,1,45k-65k,55,-0.443413637,2,1012,0.592831147,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,2,166,0,-1.281653063,0.732996492,-1.078954164,0,0,0,,,,,1,,,,,-1.191974174,1,0,0,0,0,0,0,0,0,18,1,13,1.04892557,-0.093814032
11.99,-2,0.467527382,11.99,1,35,0.368803879,1,2,45k-65k,55,-0.443413637,2,1279,1.348458904,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0.27,-0.305775062,0.708386573,1,0,2,-0.429593756,-0.932638373,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.864570794,2,11,177,2,2.066119986,0.871622215,-0.622733733,0,0,0,26,2,773,,4,-0.654813995,-0.754949852,4.26206718,,0.711168748,0,0,0,0,1,0,0,0,0,14,1,24,-0.703927834,1.04140049
11.99,0,0.48206963,11.99,1,37,0.578438824,,1,45k-65k,55,-0.443413637,2,1220,1.18148498,1,0,0,0,1,0,0,0,2.439381338,-0.834975019,-0.743819183,-0.666278948,0,0,0.18,-0.305775062,0.282666744,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.864570794,2,1,172,0,-1.653627847,0.808610523,-1.078954164,0,0,0,,,,,1,,,,,-1.191974174,1,0,0,0,0,0,0,0,0,18,1,17,1.04892557,0.318991249
