PRICE,DISCOUNT_AMT,STD_DISCOUNT_AMT,AMT,QTY,age,std_age,educ,size_hh,income_cat,income_est,std_income_est,Min_TIER,TENURE,std_TENURE,sales_pcnt,spring_pcnt,fall_pcnt,holiday_pcnt,sales_prop,spring_prop,fall_prop,holiday_prop,std_sales_prop,std_spring_prop,std_fall_prop,std_holiday_prop,bts_pcnt,bts_prop,clearance_pcnt,std_bts_prop,std_clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,std_WEB,std_PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,pcnt_m_prod,pcnt_w_prod,prop_m_prod,prop_f_prod,std_prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,std_product_cat_count,std_em_rcvd,std_dm_rcvd,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,std_timeuntil_2,std_timeuntil_3,std_timeuntil_4,std_timeuntil_5,std_up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,std_EDUC_YEARS,std_LENGTH_OF_RESIDENCE,CLUSTER,DISTANCE
22.15428571,-50,0.118513409,155.08,7,17,-1.517910626,1,2,45k-65k,55,-0.443413637,2,732,-0.199587475,0.759,0,0,0.241,0.76,0,0,0.24,1.691375812,-0.834975019,-0.743819183,0.058343461,0,0,0.18,-0.305775062,0.282666744,1,0,4,-0.429593756,-0.061770298,0.47,0.45,0,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,4,130,1,-0.537703497,0.279312307,-0.850843949,0,1,0,181,183,,,3,0.117229299,0.298727465,,,0.076787774,0,0,0,0,1,0,0,0,0,14,1,12,-0.703927834,-0.197015352,6,2.723856827
22.23571429,0,0.48206963,155.65,7,17,-1.517910626,,1,gt125k,135,1.97525394,2,1220,1.18148498,0,0,0,1,0,0,0,1,-0.677308354,-0.834975019,-0.743819183,2.352981093,0,0,0.29,-0.305775062,0.802990979,1,0,3,-0.429593756,-0.497204335,0,0.705,0.225,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,7,240,11,0.578220853,1.665569537,1.430258206,0,1,0,187,3,6,16,5,0.147114846,-0.749128431,-0.728739877,-0.613733272,1.345549722,0,0,0,0,0,1,0,0,0,14,1,8,-0.703927834,-0.609820632,1,4.2658066667
22.29857143,-48.35,0.130510764,156.09,7,32,0.054351461,2,3,45k-65k,55,-0.443413637,2,1243,1.24657651,0.66,0,0.084,0.256,0.66,0,0.08,0.26,1.379706843,-0.834975019,-0.515938315,0.118728662,-0.172,0.17,0.11,0.577302483,-0.048448678,1,0,6,-0.429593756,0.809097778,0,0,0,0,0,0,0.064,0.192,0.256,0.211,0,1,0,1,0.864570794,2,7,100,12,0.578220853,-0.098757846,1.658368422,1,0,0,143,63,286,229,5,-0.072045831,-0.399843132,1.09319751,0.800770189,1.345549722,0,1,0,0,0,0,0,0,0,12,1,13,-1.580354536,-0.093814032,6,2.0166195298
22.30142857,0,0.48206963,156.11,7,37,0.578438824,2,2,gt125k,135,1.97525394,2,479,-0.915594301,0.617,0,0,0.383,0.62,0,0,0.38,1.255039255,-0.834975019,-0.743819183,0.481039867,0,0,0,-0.305775062,-0.568772913,1,0,3,-0.429593756,-0.497204335,0,0.383,0,0,0,0.46,0,0,0,0,0.383,0.617,0.38,0.62,0.003011081,2,3,174,9,-0.90967828,0.833815199,0.974037775,0,0,0,,,,,1,,,,,-1.191974174,0,1,0,0,0,0,0,0,0,16,1,24,0.172498868,1.04140049,1,2.5705723563
22.48428571,-27.94,0.278914414,157.39,7,37,0.578438824,2,2,45k-65k,55,-0.443413637,2,1051,0.703203741,0.126,0.351,0.126,0.396,0.13,0.35,0.13,0.4,-0.272138694,0.136326924,-0.373512773,0.541425068,0,0,0.08,-0.305775062,-0.190355288,1,0,4,-0.429593756,-0.061770298,0,0,0,0,0,0.251,0,0,0,0.351,0,1,0,1,0.864570794,2,5,169,0,-0.165728714,0.770803507,-1.078954164,0,0,0,90,80,122,50,5,-0.336034828,-0.300878964,0.026062755,-0.387943987,1.345549722,0,0,0,0,0,0,0,0,1,9,0,11,-2.894994589,-0.300216672,3,1.9177413535
22.56,-60.15,0.044711496,157.92,7,37,0.578438824,2,2,45k-65k,55,-0.443413637,2,666,-0.386371864,0.69,0,0,0.31,0.69,0,0,0.31,1.473207534,-0.834975019,-0.743819183,0.269691664,0,0,0,-0.305775062,-0.568772913,1,0,3,-0.429593756,-0.497204335,0,0,0,0,0,0,0.207,0,0,0.793,0,1,0,1,0.864570794,2,3,176,3,-0.90967828,0.859019876,-0.394623518,0,0,0,201,,,,2,0.216847789,,,,-0.5575932,1,0,0,0,0,0,0,0,0,12,1,22,-1.580354536,0.83499785,3,2.2232470004
22.61571429,-93.86,-0.200398109,158.31,7,17,-1.517910626,2,,45k-65k,55,-0.443413637,2,210,-1.676882191,0,0.857,0.143,0,0,0.86,0.14,0,-0.677308354,1.551652613,-0.345027665,-0.666278948,0,0,0.25,-0.305775062,0.613782167,1,0,4,-0.429593756,-0.061770298,0,0,0,0,0,0.102,0.04,0,0,0.649,0,1,0,1,0.864570794,2,6,79,4,0.20624607,-0.363406954,-0.166513302,0,0,0,10,,,,2,-0.734508786,,,,-0.5575932,0,0,0,0,0,0,0,1,0,18,1,22,1.04892557,0.83499785,2,3.0880396232
22.62,0,0.48206963,158.34,7,37,0.578438824,1,1,gt125k,135,1.97525394,2,547,-0.723149778,0.44,0.56,0,0,0.44,0.56,0,0,0.694035111,0.71910809,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,1,-0.429593756,-1.368072411,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.864570794,2,1,94,0,-1.653627847,-0.174371877,-1.078954164,0,0,0,,,,,1,,,,,-1.191974174,0,0,1,0,0,0,0,0,0,12,1,19,-1.580354536,0.525393889,2,2.5539677296
22.76,-159.33,-0.676438625,159.32,7,46,1.521796076,2,3,25k-45k,35,-1.048080532,2,286,-1.461797137,0,1,0,0,0,1,0,0,-0.677308354,1.940173391,-0.743819183,-0.666278948,0,0,0,-0.305775062,-0.568772913,1,0,5,-0.429593756,0.37366374,0,0,0,0,0,0.188,0.116,0,0,0.414,0,1,0,1,0.864570794,2,6,30,4,0.20624607,-0.980921538,-0.166513302,0,1,0,203,,,,2,0.226809638,,,,-0.5575932,0,0,0,0,1,0,0,0,0,12,0,5,-1.580354536,-0.919424593,2,3.4566080888
22.80714286,0,0.48206963,159.65,7,37,0.578438824,3,3,gt125k,135,1.97525394,2,1266,1.31166804,0,0,0,1,0,0,0,1,-0.677308354,-0.834975019,-0.743819183,2.352981093,0,0,0,-0.305775062,-0.568772913,0.5,0.5,6,1.540561103,0.809097778,0,0,0,0,0,0,0.125,0.406,0,0.469,0,1,0,1,0.864570794,2,8,0,0,0.950195636,-1.358991692,-1.078954164,0,0,0,6,8,14,,4,-0.754432484,-0.720021323,-0.676684523,,0.711168748,1,0,0,0,0,0,0,0,0,14,1,5,-0.703927834,-0.919424593,1,4.3572018271
22.82571429,-63.84,0.017881047,159.78,7,17,-1.517910626,2,4,45k-65k,55,-0.443413637,2,364,-1.241051949,0,0.188,0,0.812,0,0.19,0,0.81,-0.677308354,-0.307696821,-0.743819183,1.779321685,0,0,0,-0.305775062,-0.568772913,0.75,0.25,4,0.555483674,-0.061770298,0.275,0.412,0.312,0,0,0,0,0,0,0,1,0,1,0,-1.402691609,2,4,172,4,-0.537703497,0.808610523,-0.166513302,1,1,0,9,133,,,3,-0.739489711,0.007656383,,,0.076787774,0,0,1,0,0,0,0,0,0,14,1,26,-0.703927834,1.247803131,3,3.4715491922
22.84714286,-27.92,0.279059836,159.93,7,37,0.578438824,2,3,45k-65k,55,-0.443413637,2,796,-0.018463218,0,0.638,0.262,0.1,0,0.64,0.26,0.1,-0.677308354,0.941119963,-0.003206364,-0.364352944,0,0,0.16,-0.305775062,0.188062338,1,0,6,-0.429593756,0.809097778,0,0.125,0,0,0,0,0.362,0,0,0.15,0.35,0.65,0.35,0.65,0.071028953,2,6,7,12,0.20624607,-1.270775322,1.658368422,0,0,0,176,112,,,3,0.092324677,-0.114593472,,,0.076787774,0,1,0,0,0,0,0,0,0,18,1,14,1.04892557,0.009387289,4,2.3312519668
22.97714286,-12,0.394816137,160.84,7,37,0.578438824,1,3,45k-65k,55,-0.443413637,2,475,-0.926914567,0.13,0.112,0.758,0,0.13,0.11,0.76,0,-0.272138694,-0.529708694,1.421049057,-0.666278948,0,0,0.37,-0.305775062,1.181408605,1,0,5,-0.429593756,0.37366374,0.497,0,0,0,0,0,0.075,0.037,0,0,0.869,0.131,0.87,0.13,-1.107947497,2,5,169,6,-0.165728714,0.770803507,0.289707129,1,0,0,1,1,152,,4,-0.779337107,-0.760771274,0.221270332,,0.711168748,0,0,0,1,0,0,0,0,0,14,1,13,-0.703927834,-0.093814032,4,2.9485191119
23.11,-59.97,0.046020298,161.77,7,17,-1.517910626,4,3,45k-65k,55,-0.443413637,2,481,-0.909934168,0,0.444,0.556,0,0,0.44,0.56,0,-0.677308354,0.386090281,0.851346889,-0.666278948,0,0,0.22,-0.305775062,0.471875557,1,0,5,-0.429593756,0.37366374,0,0,0,0,0,0.556,0.148,0,0,0.148,0,1,0,1,0.864570794,2,5,64,11,-0.165728714,-0.552442031,1.430258206,0,1,0,,,,,1,,,,,-1.191974174,0,0,0,0,0,0,0,0,1,12,1,6,-1.580354536,-0.816223273,2,2.7354548502
23.19714286,0,0.48206963,162.38,7,17,-1.517910626,2,2,gt125k,135,1.97525394,2,1071,0.759805071,0.295,0,0.705,0,0.3,0,0.71,0,0.257698554,-0.834975019,1.278623515,-0.666278948,0.074,0.07,0.14,0.057845103,0.093457932,1,0,3,-0.429593756,-0.497204335,0,0,0,0,0,0,0,0.336,0.074,0.59,0,1,0,1,0.864570794,2,4,96,11,-0.537703497,-0.1491672,1.430258206,0,1,0,278,289,,,3,0.600378973,0.915798159,,,0.076787774,0,0,1,0,0,0,0,0,0,18,1,20,1.04892557,0.62859521,1,3.6097609007
