PRICE,DISCOUNT_AMT,AMT,QTY,age,educ,size_hh,income_cat,income_est,Min_TIER,TENURE,sales_prop,spring_prop,fall_prop,holiday_prop,bts_prop,clearance_pcnt,RETAIL,WEB,PROD_CATEGORY_COUNT,pcnt_m_casual_bottoms,pcnt_m_knits,pcnt_m_shirts,pcnt_m_suits,pcnt_w_denim,pcnt_w_dress,pcnt_w_knit_tops,pcnt_w_pants,pcnt_w_sweaters,pcnt_w_woven_tops,prop_m_prod,prop_f_prod,TIER,product_category_count,em_received_ty,dm_received_ty,days90,profile,is_redeemer,timeuntil_2,timeuntil_3,timeuntil_4,timeuntil_5,up_trans,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,EDUC_YEARS,MARRIED,LENGTH_OF_RESIDENCE,CLUSTER,DISTANCE
29.9,0,29.9,1,17,1,1,65k-85k,75,2,986,0,0,1,0,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,3,178,1,0,1,0,588,,,,2,0,0,0,0,0,0,0,0,1,16,1,23,1,4.612058524
29.9,0,29.9,1,17,1,1,65k-85k,75,2,647,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,160,3,1,1,0,,,,,1,0,0,0,0,0,0,0,1,0,14,0,11,1,3.439854242
29.9,0,29.9,1,17,1,1,65k-85k,75,2,1233,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,168,0,1,1,0,,,,,1,1,0,0,0,0,0,0,0,0,18,1,5,1,4.166265588
29.94,0,29.94,1,37,1,1,,,2,1162,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,24,3,1,0,0,,,,,1,1,0,0,0,0,0,0,0,0,18,0,23,1,2.843819204
29.95,-29.95,29.95,1,37,1,2,45k-65k,55,2,894,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,5,173,8,0,0,0,336,,,,2,0,0,0,0,0,0,0,0,1,16,1,10,1,3.419954772
29.95,0,29.95,1,37,1,1,65k-85k,75,2,1318,0,0,0,1,0,0.2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,3,11,4,0,0,0,25,277,272,,4,1,0,0,0,0,0,0,0,0,16,1,23,1,3.648886111
29.95,0,29.95,1,17,1,1,65k-85k,75,2,1253,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,7,181,9,1,1,1,103,90,24,371,5,1,0,0,0,0,0,0,0,0,14,1,5,1,3.949403644
29.95,0,29.95,1,17,1,1,65k-85k,75,2,1033,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,3,8,1,0,1,0,,,,,1,0,1,0,0,0,0,0,0,0,18,1,11,1,3.493396948
29.95,0,29.95,1,17,1,1,65k-85k,75,2,1000,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,32,4,0,1,0,,,,,1,1,0,0,0,0,0,0,0,0,16,1,3,1,3.382892119
29.95,0,29.95,1,37,1,1,65k-85k,75,2,1001,0,0,0,1,0,0.18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,170,3,0,0,0,358,,,,2,1,0,0,0,0,0,0,0,0,14,1,25,1,2.633523767
29.95,0,29.95,1,37,1,1,65k-85k,75,2,1050,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,3,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,18,1,27,1,2.923594083
29.95,0,29.95,1,37,1,1,65k-85k,75,2,891,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,11,0,0,0,0,246,,,,2,0,0,0,0,0,1,0,0,0,14,1,14,1,2.592519552
